pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=258687556349984792617237439746878034662, geometry=POINT (13460468.39057746 3637902.798422105), status=home, , Commuter(unique_id=52925576457554771207407842436562722917, geometry=POINT (13460468.39057746 3637902.798422105), status=home, , Commuter(unique_id=318233510937899418763028426541181024108, geometry=POINT (13460468.39057746 3637902.798422105), status=home, , Commuter(unique_id=230254951749403327356996644982662567275, geometry=POINT (13460468.39057746 3637902.798422105), status=home, }",56.0,47.0,50.0,47.0,63.0,66.0,45.0,34.0,0.0,13.0,1.0,6.0,3,13,17,15,14
set(),13.0,19.0,16.0,13.0,14.0,15.0,13.0,7.0,18.0,18.0,9.0,5.0,1,11,10,19,3
set(),8.0,2.0,7.0,14.0,0.0,13.0,16.0,13.0,8.0,8.0,11.0,6.0,14,7,17,5,3
set(),14.0,9.0,4.0,18.0,1.0,12.0,16.0,11.0,14.0,12.0,14.0,15.0,21,18,3,33,32
set(),13.0,6.0,10.0,15.0,11.0,2.0,17.0,10.0,4.0,14.0,0.0,9.0,19,13,19,11,12
set(),19.0,5.0,0.0,15.0,2.0,15.0,6.0,13.0,11.0,11.0,13.0,10.0,31,29,22,25,0
set(),18.0,17.0,13.0,11.0,16.0,11.0,10.0,7.0,7.0,14.0,4.0,7.0,11,8,12,17,4
set(),7.0,19.0,0.0,0.0,2.0,8.0,8.0,12.0,13.0,2.0,9.0,10.0,2,11,13,19,16
set(),8.0,13.0,12.0,5.0,8.0,14.0,15.0,6.0,12.0,6.0,7.0,12.0,13,17,10,3,17
set(),3.0,1.0,17.0,10.0,19.0,2.0,18.0,3.0,18.0,13.0,17.0,18.0,16,12,7,6,9
